tipo,archivo,duracion_original,sampling_rate_original
TR,2018-06-19-0407-25S.LC10__001_00_01,44.995,200.0
VT,2018-06-20-2336-20S.LC10__001_00_01,69.995,200.0
TR,2018-06-21-1823-55S.LC10__001_00_01,24.995,200.0
HY,2018-05-02-0710-30S.LC10__001_00_01,39.995,200.0
TC,2018-06-01-2007-46S.B2DA__001_00_01,93.998,500.0
TC,2018-04-14-1921-51S.LC10__001_00_01,14.995,200.0
VT,2018-06-19-1415-45S.LC10__001_00_01,9.995,200.0
LP,2018-10-02-1212-37S.LC05__001_00_01,162.995,200.0
VT,2018-04-21-1854-06S.LC07__001_00_01,9.995,200.0
VT,2018-07-28-1118-46S.LC10__001_00_01,13.995,200.0
VT,2018-04-07-1332-54S.LC10__001_00_01,6.995,200.0
TR,2018-04-19-0936-41S.LC07__001_00_01,17.995,200.0
TC,2018-08-27-2147-40S.LC05__001_00_01,199.995,200.0
TC,2018-08-04-0757-56S.LC05__001_00_01,122.995,200.0
TC,2018-09-13-1205-09S.LC01__001_00_01,195.995,200.0
VT,2018-04-09-1130-34S.LC10__001_00_01,8.995,200.0
HY,2018-03-15-0409-30S.LC10__001_00_01,39.995,200.0
VT,2018-03-14-0413-30S.LC10__001_00_01,10.995,200.0
LP,2018-09-07-2027-40S.LC09__001_00_01,49.995,200.0
TC,2018-08-16-1738-10S.LC08__001_00_01,89.995,200.0
VT,2018-04-21-1913-20S.LC10__001_00_01,9.995,200.0
TR,2018-05-06-1354-50S.LC10__001_00_01,49.995,200.0
TC,2018-05-01-0708-40S.LC10__001_00_01,44.995,200.0
TC,2018-05-22-1819-10S.LC10__001_00_01,59.995,200.0
TC,2018-08-07-1754-12S.LC05__001_00_01,59.995,200.0
VT,2018-03-27-1818-14S.LC10__001_00_01,33.995,200.0
VT,2018-04-15-0019-17S.LC10__001_00_01,9.995,200.0
TR,2018-04-03-0625-38S.LC07__001_00_01,14.995,200.0
VT,2018-06-01-0453-20S.LC10__001_00_01,24.995,200.0
TC,2018-10-18-0324-10S.LC05__001_00_01,64.995,200.0
VT,2018-06-01-1935-50S.LC01__001_00_01,29.995,200.0
TR,2018-05-07-1210-40S.LC10__001_00_01,39.995,200.0
TC,2018-03-06-2040-53S.LC01__001_00_01,44.995,200.0
VT,2018-05-17-2034-50S.LC10__001_00_01,59.995,200.0
TR,2018-10-12-1758-15S.LC09__001_00_01,44.995,200.0
LP,2018-05-10-2301-35S.LC10__001_00_01,24.995,200.0
VT,2018-10-08-1213-30S.LC05__001_00_01,49.995,200.0
TC,2018-06-24-2130-12S.LC10__001_00_01,97.995,200.0
TC,2018-06-11-2228-05S.LC10__001_00_01,134.995,200.0
VT,2018-04-05-0510-12S.LC10__001_00_01,8.995,200.0
VT,2018-06-16-2238-20S.LC10__001_00_01,14.995,200.0
LP,2018-08-11-1311-53S.LC06__001_00_01,21.995,200.0
VT,2018-03-29-1339-06S.LC10__001_00_01,9.995,200.0
TC,2018-05-06-2036-50S.B2DA__001_00_01,69.998,500.0
VT,2018-05-11-1705-20S.LC10__001_00_01,19.995,200.0
TC,2018-03-04-1133-27S.LC05__001_00_01,122.995,200.0
TC,2018-05-25-2104-00S.LC10__001_00_01,139.995,200.0
VT,2018-04-15-0747-32S.LC10__001_00_01,19.995,200.0
TC,2018-09-05-2010-18S.LC08__001_00_01,40.995,200.0
VT,2018-06-01-1100-23S.LC10__001_00_01,26.995,200.0
TC,2018-04-09-1450-52S.LC07__001_00_01,21.995,200.0
VT,2018-07-28-0357-30S.LC10__001_00_01,19.995,200.0
VT,2018-07-02-1903-00S.LC10__001_00_01,8.995,200.0
VT,2018-08-05-0337-30S.LC05__001_00_01,19.995,200.0
TC,2018-05-11-1840-40S.LC07__001_00_01,29.995,200.0
TC,2018-06-08-1943-25S.LC03__001_00_01,29.995,200.0
VT,2018-05-17-1328-00S.LC10__001_00_01,39.995,200.0
VT,2018-06-19-1751-50S.LC10__001_00_01,14.995,200.0
TC,2018-04-18-0327-51S.LC10__001_00_01,24.995,200.0
TC,2018-09-06-1839-39S.LC05__001_00_01,145.995,200.0
TC,2018-05-19-2121-00S.LC10__001_00_01,139.995,200.0
TC,2018-03-27-0011-05S.LC07__001_00_01,32.995,200.0
TC,2018-06-07-1826-12S.LC10__001_00_01,97.995,200.0
LP,2018-09-29-0517-06S.LC05__001_00_01,53.995,200.0
VT,2018-03-25-0008-39S.LC10__001_00_01,9.995,200.0
TC,2018-06-27-2118-30S.LC10__001_00_01,109.995,200.0
VT,2018-05-26-2247-30S.LC09__001_00_01,29.995,200.0
VT,2018-04-16-2128-15S.LC10__001_00_01,13.995,200.0
VT,2018-04-07-1208-55S.LC10__001_00_01,8.995,200.0
VT,2018-04-08-2159-16S.LC10__001_00_01,9.995,200.0
VT,2018-03-26-0720-30S.LC10__001_00_01,29.995,200.0
TC,2018-06-05-0929-52S.LC10__001_00_01,147.995,200.0
TC,2018-05-03-1717-10S.LC10__001_00_01,179.995,200.0
LP,2018-04-10-0146-40S.LC08__001_00_01,17.995,200.0
VT,2018-05-11-1406-10S.LC10__001_00_01,24.995,200.0
TC,2018-09-17-1719-30S.LC05__001_00_01,69.995,200.0
VT,2018-04-28-0426-10S.LC10__001_00_01,25.995,200.0
VT,2018-04-04-0716-05S.LC07__001_00_01,17.995,200.0
VT,2018-06-21-1729-55S.LC10__001_00_01,24.995,200.0
TC,2018-06-15-1403-26S.LC10__001_00_01,213.995,200.0
HY,2018-05-13-2146-53S.LC10__001_00_01,21.995,200.0
VT,2018-03-08-2103-09S.LC10__001_00_01,12.995,200.0
VT,2018-10-20-0753-56S.LC08__001_00_01,11.995,200.0
VT,2018-06-01-2353-15S.LC10__001_00_01,14.995,200.0
VT,2018-03-20-0520-36S.LC10__001_00_01,31.995,200.0
TC,2018-04-11-1907-23S.LC10__001_00_01,19.995,200.0
HY,2018-08-04-1844-00S.LC05__001_00_01,169.995,200.0
HY,2018-09-18-1812-50S.LC05__001_00_01,59.995,200.0
TC,2018-07-28-1134-50S.LC10__001_00_01,39.995,200.0
TC,2018-08-24-2217-10S.LC09__001_00_01,69.995,200.0
VT,2018-03-19-0328-55S.LC10__001_00_01,9.995,200.0
TR,2018-06-16-0054-10S.LC10__001_00_01,29.995,200.0
VT,2018-06-07-2029-05S.LC10__001_00_01,24.995,200.0
VT,2018-06-19-1344-45S.LC10__001_00_01,14.995,200.0
VT,2018-03-26-0307-05S.LC10__001_00_01,19.995,200.0
VT,2018-06-09-0328-40S.LC10__001_00_01,29.995,200.0
TC,2018-05-02-1706-00S.B2DA__001_00_01,79.998,500.0
HY,2018-07-07-2022-45S.LC10__001_00_01,94.995,200.0
TC,2018-05-12-1127-50S.LC10__001_00_01,29.995,200.0
TC,2018-10-09-1345-05S.LC08__001_00_01,54.995,200.0
VT,2018-06-25-0347-16S.LC10__001_00_01,18.995,200.0
VT,2018-06-13-1812-45S.LC04__001_00_01,64.995,200.0
LP,2018-09-04-0021-32S.LC08__001_00_01,42.995,200.0
VT,2018-05-29-0433-00S.LC10__001_00_01,19.995,200.0
VT,2018-03-07-1113-32S.LC10__001_00_01,13.995,200.0
VT,2018-06-15-1337-20S.LC10__001_00_01,19.995,200.0
VT,2018-03-12-1408-23S.LC10__001_00_01,8.995,200.0
VT,2018-06-13-0129-55S.LC10__001_00_01,14.995,200.0
VT,2018-06-19-1422-28S.LC10__001_00_01,11.995,200.0
VT,2018-04-15-0520-54S.LC10__001_00_01,9.995,200.0
VT,2018-04-08-1105-33S.LC10__001_00_01,19.995,200.0
TC,2018-03-24-0640-08S.LC10__001_00_01,19.995,200.0
LP,2018-03-15-1014-15S.B2DA__001_00_01,19.998,500.0
TC,2018-04-25-1321-12S.LC10__001_00_01,92.995,200.0
VT,2018-03-18-0140-04S.LC10__001_00_01,13.995,200.0
TR,2018-04-20-1727-54S.LC10__001_00_01,75.995,200.0
VT,2018-09-03-1335-10S.LC04__001_00_01,24.995,200.0
VT,2018-04-13-0017-39S.LC10__001_00_01,9.995,200.0
VT,2018-03-18-1720-52S.LC10__001_00_01,11.995,200.0
TR,2018-06-17-1914-35S.LC03__001_00_01,24.995,200.0
LP,2018-05-11-1017-50S.LC10__001_00_01,29.995,200.0
TC,2018-10-21-0306-30S.LC04__001_00_01,69.995,200.0
TC,2018-06-06-1832-55S.LC07__001_00_01,34.995,200.0
TR,2018-09-28-1746-48S.LC05__001_00_01,151.995,200.0
VT,2018-09-23-1706-08S.LC09__001_00_01,21.995,200.0
TC,2018-08-22-0147-10S.LC09__001_00_01,89.995,200.0
TC,2018-03-28-0344-26S.B2DA__001_00_01,105.998,500.0
TC,2018-07-19-1705-59S.LC06__001_00_01,80.995,200.0
VT,2018-08-04-1853-25S.LC06__001_00_01,34.995,200.0
TR,2018-06-17-2233-16S.LC10__001_00_01,53.995,200.0
VT,2018-06-04-0326-30S.LC10__001_00_01,19.995,200.0
TC,2018-05-19-1717-25S.B2DA__001_00_01,94.998,500.0
TC,2018-06-16-0303-33S.LC10__001_00_01,51.995,200.0
VT,2018-04-17-2223-47S.LC10__001_00_01,15.995,200.0
TC,2018-06-17-0314-10S.LC09__001_00_01,49.995,200.0
LP,2018-09-27-1839-35S.LC05__001_00_01,39.995,200.0
VT,2018-05-04-0917-35S.LC10__001_00_01,44.995,200.0
VT,2018-06-10-0335-25S.LC10__001_00_01,31.995,200.0
LP,2018-06-15-0335-17S.LC09__001_00_01,142.995,200.0
TC,2018-08-03-2116-50S.LC04__001_00_01,64.995,200.0
VT,2018-06-10-0315-35S.LC10__001_00_01,14.995,200.0
VT,2018-06-28-0334-23S.LC10__001_00_01,11.995,200.0
HY,2018-10-09-1813-42S.LC06__001_00_01,107.995,200.0
VT,2018-04-14-1936-06S.LC10__001_00_01,19.995,200.0
TC,2018-10-08-2109-28S.LC05__001_00_01,111.995,200.0
VT,2018-08-22-1211-55S.LC09__001_00_01,19.995,200.0
VT,2018-03-04-1158-10S.LC05__001_00_01,19.995,200.0
VT,2018-04-16-1044-37S.LC10__001_00_01,9.995,200.0
VT,2018-04-15-1736-57S.LC10__001_00_01,9.995,200.0
VT,2018-06-12-2232-25S.LC10__001_00_01,19.995,200.0
TC,2018-03-18-0528-00S.LC10__001_00_01,56.995,200.0
TC,2018-03-26-1305-47S.LC07__001_00_01,37.995,200.0
VT,2018-03-16-2232-53S.LC07__001_00_01,9.995,200.0
VT,2018-03-10-2349-41S.LC10__001_00_01,9.995,200.0
VT,2018-03-25-2349-47S.LC10__001_00_01,9.995,200.0
TC,2018-04-28-0412-43S.LC10__001_00_01,34.995,200.0
TC,2018-05-31-2222-35S.LC10__001_00_01,44.995,200.0
TC,2018-06-16-1846-30S.LC09__001_00_01,69.995,200.0
TC,2018-08-13-1730-30S.LC05__001_00_01,79.995,200.0
TC,2018-04-12-1136-31S.LC10__001_00_01,29.995,200.0
TC,2018-06-16-1417-50S.LC09__001_00_01,69.995,200.0
TC,2018-04-09-1406-49S.LC10__001_00_01,170.995,200.0
TC,2018-08-31-1435-05S.LC05__001_00_01,29.995,200.0
VT,2018-06-13-1001-55S.LC10__001_00_01,19.995,200.0
VT,2018-06-14-2043-20S.LC10__001_00_01,29.995,200.0
TC,2018-09-13-1140-21S.LC09__001_00_01,68.995,200.0
VT,2018-06-16-1320-50S.LC10__001_00_01,29.995,200.0
LP,2018-07-06-1403-47S.LC10__001_00_01,22.995,200.0
TC,2018-04-10-0456-16S.LC08__001_00_01,143.995,200.0
TR,2018-10-06-1931-25S.LC04__001_00_01,54.995,200.0
VT,2018-05-02-0944-36S.LC10__001_00_01,23.995,200.0
TR,2018-04-15-0728-50S.LC10__001_00_01,29.995,200.0
TC,2018-06-15-2118-40S.LC09__001_00_01,79.995,200.0
VT,2018-04-15-0034-31S.LC10__001_00_01,19.995,200.0
TC,2018-05-14-2347-20S.LC10__001_00_01,149.995,200.0
TC,2018-05-15-0044-30S.LC10__001_00_01,29.995,200.0
TC,2018-04-21-0102-18S.LC10__001_00_01,17.995,200.0
TC,2018-05-29-1118-30S.LC10__001_00_01,49.995,200.0
VT,2018-05-18-2017-07S.LC10__001_00_01,32.995,200.0
LP,2018-08-16-1717-07S.LC08__001_00_01,172.995,200.0
TC,2018-03-26-0350-12S.LC10__001_00_01,19.995,200.0
TC,2018-04-29-2022-04S.B2DA__001_00_01,65.998,500.0
HY,2018-10-10-2223-00S.LC05__001_00_01,49.995,200.0
VT,2018-04-22-0756-45S.LC07__001_00_01,15.995,200.0
VT,2018-05-06-0501-30S.LC10__001_00_01,29.995,200.0
VT,2018-05-11-2235-30S.LC10__001_00_01,24.995,200.0
TC,2018-08-22-2256-35S.LC05__001_00_01,74.995,200.0
VT,2018-04-20-1411-02S.LC10__001_00_01,11.995,200.0
VT,2018-06-13-1055-15S.LC10__001_00_01,21.995,200.0
VT,2018-06-17-2135-40S.LC10__001_00_01,29.995,200.0
VT,2018-03-23-1215-40S.LC10__001_00_01,11.995,200.0
LP,2018-03-10-2017-26S.B2DA__001_00_01,65.998,500.0
TC,2018-04-16-1828-30S.LC10__001_00_01,23.995,200.0
VT,2018-07-10-0504-29S.LC10__001_00_01,20.995,200.0
VT,2018-06-09-0105-20S.LC10__001_00_01,19.995,200.0
VT,2018-06-21-0729-20S.LC10__001_00_01,24.995,200.0
TC,2018-04-13-1307-40S.B2DA__001_00_01,79.998,500.0
TC,2018-09-12-2047-51S.LC05__001_00_01,123.995,200.0
TC,2018-06-01-1318-55S.LC10__001_00_01,24.995,200.0
VT,2018-04-19-1111-59S.LC10__001_00_01,14.995,200.0
VT,2018-03-08-2357-08S.LC10__001_00_01,8.995,200.0
TC,2018-06-23-1120-00S.LC10__001_00_01,139.995,200.0
TC,2018-04-10-0537-58S.LC10__001_00_01,119.995,200.0
TC,2018-05-06-2223-10S.LC10__001_00_01,229.995,200.0
VT,2018-06-02-0120-45S.LC10__001_00_01,9.995,200.0
TC,2018-06-26-0903-00S.LC04__001_00_01,109.995,200.0
VT,2018-03-07-0417-38S.LC10__001_00_01,9.995,200.0
TC,2018-05-20-0300-05S.B2DA__001_00_01,19.998,500.0
LP,2018-04-20-1210-38S.LC10__001_00_01,26.995,200.0
LP,2018-04-30-0702-08S.B2DA__001_00_01,15.998,500.0
VT,2018-04-28-0102-46S.LC07__001_00_01,38.995,200.0
VT,2018-06-15-2013-30S.LC09__001_00_01,29.995,200.0
TC,2018-04-06-1158-09S.LC07__001_00_01,20.995,200.0
VT,2018-03-13-0154-50S.LC10__001_00_01,14.995,200.0
VT,2018-03-27-2307-26S.LC10__001_00_01,9.995,200.0
VT,2018-06-26-0041-10S.LC10__001_00_01,11.995,200.0
VT,2018-04-11-2228-04S.LC10__001_00_01,9.995,200.0
VT,2018-04-27-1109-15S.LC10__001_00_01,9.995,200.0
TC,2018-06-05-0409-00S.LC10__001_00_01,39.995,200.0
LP,2018-03-06-0140-44S.LC05__001_00_01,70.995,200.0
VT,2018-03-04-0753-32S.LC04__001_00_01,37.995,200.0
TC,2018-06-15-1454-43S.LC10__001_00_01,176.995,200.0
TR,2018-10-06-1814-43S.LC09__001_00_01,76.995,200.0
LP,2018-05-02-0526-00S.B2DA__001_00_01,149.998,500.0
TC,2018-05-15-1803-30S.LC10__001_00_01,89.995,200.0
TR,2018-05-01-2350-20S.LC10__001_00_01,29.995,200.0
VT,2018-03-15-0424-03S.LC10__001_00_01,14.995,200.0
VT,2018-05-03-1048-18S.LC10__001_00_01,13.995,200.0
TR,2018-04-15-1307-31S.LC07__001_00_01,19.995,200.0
TR,2018-05-17-0111-29S.LC10__001_00_01,14.995,200.0
LP,2018-03-25-0917-30S.LC05__001_00_01,90.995,200.0
LP,2018-10-16-1845-30S.LC05__001_00_01,64.995,200.0
VT,2018-06-13-0513-18S.LC10__001_00_01,16.995,200.0
VT,2018-04-18-0903-46S.LC10__001_00_01,23.995,200.0
VT,2018-03-11-0951-58S.LC10__001_00_01,8.995,200.0
TC,2018-10-15-0932-33S.LC04__001_00_01,56.995,200.0
TR,2018-06-28-2202-50S.LC10__001_00_01,109.995,200.0
TC,2018-10-21-1208-18S.LC04__001_00_01,81.995,200.0
TC,2018-04-28-0954-30S.LC10__001_00_01,22.995,200.0
VT,2018-03-22-0406-35S.LC10__001_00_01,34.995,200.0
LP,2018-06-29-0707-15S.LC10__001_00_01,124.995,200.0
TC,2018-06-13-1310-50S.LC10__001_00_01,39.995,200.0
LP,2018-05-15-1918-20S.B2DA__001_00_01,89.998,500.0
LP,2018-03-16-0725-05S.B2DA__001_00_01,19.998,500.0
TC,2018-09-22-0906-50S.LC08__001_00_01,24.995,200.0
TR,2018-04-04-0306-04S.LC10__001_00_01,24.995,200.0
TC,2018-05-28-1955-20S.LC10__001_00_01,159.995,200.0
LP,2018-08-07-1333-15S.LC05__001_00_01,26.995,200.0
VT,2018-04-01-0955-54S.LC10__001_00_01,20.995,200.0
VT,2018-09-22-1306-48S.LC09__001_00_01,15.995,200.0
LP,2018-06-03-0315-35S.LC10__001_00_01,24.995,200.0
VT,2018-06-16-0916-35S.LC04__001_00_01,14.995,200.0
VT,2018-05-21-2203-50S.LC10__001_00_01,14.995,200.0
LP,2018-10-08-1855-59S.LC05__001_00_01,15.995,200.0
HY,2018-10-17-2037-55S.LC05__001_00_01,124.995,200.0
TR,2018-06-04-0557-00S.LC10__001_00_01,39.995,200.0
VT,2018-05-03-1125-14S.LC10__001_00_01,15.995,200.0
TC,2018-05-31-1218-12S.LC10__001_00_01,117.995,200.0
TC,2018-04-12-0652-17S.LC10__001_00_01,19.995,200.0
TC,2018-06-14-2000-30S.LC10__001_00_01,89.995,200.0
VT,2018-04-05-0134-30S.LC07__001_00_01,9.995,200.0
TC,2018-06-18-2000-31S.LC10__001_00_01,108.995,200.0
TC,2018-06-26-0652-45S.LC10__001_00_01,104.995,200.0
TC,2018-05-04-1431-20S.LC10__001_00_01,19.995,200.0
VT,2018-03-09-0511-53S.LC10__001_00_01,9.995,200.0
VT,2018-05-23-1925-15S.LC10__001_00_01,24.995,200.0
TC,2018-06-05-2142-00S.LC10__001_00_01,89.995,200.0
VT,2018-03-06-1257-01S.LC07__001_00_01,16.995,200.0
TC,2018-05-31-0028-50S.B2DA__001_00_01,39.998,500.0
LP,2018-05-17-1347-40S.LC08__001_00_01,139.995,200.0
VT,2018-07-11-1144-58S.LC10__001_00_01,26.995,200.0
VT,2018-04-14-1802-08S.LC10__001_00_01,9.995,200.0
VT,2018-09-27-0313-30S.LC04__001_00_01,23.995,200.0
VT,2018-06-01-1238-22S.LC10__001_00_01,17.995,200.0
TC,2018-04-17-1937-34S.LC10__001_00_01,19.995,200.0
VT,2018-10-14-2128-50S.LC05__001_00_01,24.995,200.0
VT,2018-10-06-0918-47S.LC08__001_00_01,27.995,200.0
TC,2018-04-25-0543-47S.LC10__001_00_01,19.995,200.0
TC,2018-04-04-0917-45S.LC10__001_00_01,27.995,200.0
VT,2018-06-22-2243-35S.LC10__001_00_01,19.995,200.0
VT,2018-03-10-0553-27S.LC10__001_00_01,6.995,200.0
HY,2018-05-21-0603-46S.LC10__001_00_01,23.995,200.0
TC,2018-04-15-1140-44S.LC10__001_00_01,95.995,200.0
LP,2018-03-28-2307-05S.B2DA__001_00_01,14.998,500.0
TC,2018-04-16-1103-24S.LC07__001_00_01,19.995,200.0
TC,2018-06-23-1049-11S.LC10__001_00_01,98.995,200.0
VT,2018-03-24-0935-58S.LC10__001_00_01,19.995,200.0
VT,2018-03-17-0538-49S.LC10__001_00_01,23.995,200.0
VT,2018-10-12-1727-50S.LC05__001_00_01,19.995,200.0
LP,2018-05-19-0627-30S.LC10__001_00_01,59.995,200.0
VT,2018-03-27-2252-55S.B2DA__001_00_01,9.998,500.0
TC,2018-05-30-1319-30S.B2DA__001_00_01,49.998,500.0
VT,2018-10-15-0949-10S.LC05__001_00_01,19.995,200.0
VT,2018-04-10-0729-27S.LC10__001_00_01,20.995,200.0
LP,2018-05-18-2141-20S.LC10__001_00_01,79.995,200.0
TC,2018-04-25-1732-56S.B2DA__001_00_01,54.998,500.0
VT,2018-06-21-1158-10S.LC10__001_00_01,14.995,200.0
LP,2018-03-06-1415-35S.LC05__001_00_01,45.995,200.0
TR,2018-04-11-0008-55S.LC10__001_00_01,26.995,200.0
VT,2018-06-09-0558-06S.LC10__001_00_01,15.995,200.0
TR,2018-04-24-1059-31S.LC10__001_00_01,27.995,200.0
TC,2018-04-16-0720-55S.LC10__001_00_01,29.995,200.0
VT,2018-05-24-1754-16S.LC10__001_00_01,43.995,200.0
VT,2018-06-29-0600-58S.LC10__001_00_01,21.995,200.0
VT,2018-07-03-2256-52S.LC10__001_00_01,6.995,200.0
VT,2018-08-14-2130-56S.LC05__001_00_01,13.995,200.0
TC,2018-06-19-2103-50S.LC10__001_00_01,49.995,200.0
HY,2018-04-01-1722-46S.LC10__001_00_01,63.995,200.0
TC,2018-03-10-0425-55S.LC10__001_00_01,27.995,200.0
TC,2018-06-29-0735-35S.LC05__001_00_01,54.995,200.0
VT,2018-04-11-1348-46S.LC10__001_00_01,9.995,200.0
TC,2018-09-29-2233-37S.LC08__001_00_01,67.995,200.0
TC,2018-05-30-0530-45S.LC10__001_00_01,134.995,200.0
TC,2018-03-31-0757-60S.LC10__001_00_01,24.995,200.0
VT,2018-05-12-1153-25S.LC10__001_00_01,34.995,200.0
VT,2018-05-01-0750-18S.LC10__001_00_01,13.995,200.0
VT,2018-06-05-0520-58S.LC10__001_00_01,21.995,200.0
LP,2018-10-01-2201-40S.LC09__001_00_01,54.995,200.0
TC,2018-04-18-1725-30S.LC07__001_00_01,19.995,200.0
TC,2018-04-08-0043-52S.LC10__001_00_01,57.995,200.0
HY,2018-05-03-0642-10S.LC10__001_00_01,59.995,200.0
VT,2018-05-20-2004-55S.LC10__001_00_01,19.995,200.0
TC,2018-03-26-0644-08S.LC10__001_00_01,19.995,200.0
TC,2018-06-12-2224-15S.LC10__001_00_01,164.995,200.0
VT,2018-04-11-1344-08S.LC10__001_00_01,14.995,200.0
LP,2018-04-09-0703-16S.B2DA__001_00_01,15.998,500.0
TC,2018-06-05-0554-38S.LC10__001_00_01,21.995,200.0
LP,2018-03-30-0745-40S.B2DA__001_00_01,99.998,500.0
VT,2018-07-06-1355-03S.LC10__001_00_01,12.995,200.0
LP,2018-06-13-1944-25S.LC10__001_00_01,94.995,200.0
TR,2018-09-09-1739-02S.LC04__001_00_01,139.995,200.0
VT,2018-03-10-1704-11S.LC10__001_00_01,10.995,200.0
TR,2018-04-28-0705-21S.LC10__001_00_01,78.995,200.0
TR,2018-08-26-2020-07S.LC09__001_00_01,72.995,200.0
TC,2018-05-22-0613-00S.LC10__001_00_01,49.995,200.0
LP,2018-05-18-2259-10S.LC10__001_00_01,19.995,200.0
TC,2018-06-03-0151-45S.LC10__001_00_01,154.995,200.0
VT,2018-04-07-0721-33S.LC10__001_00_01,21.995,200.0
VT,2018-03-04-1844-01S.LC03__001_00_01,14.995,200.0
VT,2018-05-14-1248-30S.LC10__001_00_01,22.995,200.0
VT,2018-04-09-0420-20S.LC10__001_00_01,17.995,200.0
TC,2018-05-06-1448-40S.LC07__001_00_01,59.995,200.0
TC,2018-05-17-0708-15S.LC10__001_00_01,134.995,200.0
TC,2018-03-27-1428-07S.LC10__001_00_01,13.995,200.0
TC,2018-04-20-0534-33S.LC07__001_00_01,41.995,200.0
TC,2018-04-18-2025-54S.LC10__001_00_01,19.995,200.0
VT,2018-05-13-1220-50S.LC10__001_00_01,19.995,200.0
TC,2018-03-18-0550-53S.LC10__001_00_01,146.995,200.0
VT,2018-06-19-0123-50S.LC10__001_00_01,19.995,200.0
VT,2018-04-17-1838-41S.LC10__001_00_01,15.995,200.0
TC,2018-05-07-0756-38S.LC10__001_00_01,121.995,200.0
VT,2018-03-10-0658-49S.LC10__001_00_01,12.995,200.0
TR,2018-05-30-2245-32S.LC10__001_00_01,37.995,200.0
TC,2018-05-22-1735-18S.LC10__001_00_01,51.995,200.0
VT,2018-03-16-1051-38S.LC10__001_00_01,16.995,200.0
VT,2018-04-07-1044-03S.LC10__001_00_01,6.995,200.0
VT,2018-06-19-0305-40S.LC10__001_00_01,29.995,200.0
TC,2018-07-28-1905-10S.LC09__001_00_01,29.995,200.0
VT,2018-06-12-1320-05S.LC10__001_00_01,19.995,200.0
TC,2018-05-23-0710-23S.B2DA__001_00_01,66.998,500.0
TC,2018-06-04-1839-40S.LC10__001_00_01,19.995,200.0
